id,TARGET
EK202310003556,137.66666666666666
EK202310170625,152.56666666666666
EK202310167359,151.66666666666666
EK202310118370,132.36666666666667
EK202320006361,143.0
EK202310003542,144.13333333333333
EK202310125266,135.46666666666667
EK202310144740,134.63333333333333
EK202310137443,142.96666666666667
EK202310159067,159.23333333333332
EK202310245067,125.56666666666666
EK202310240556,134.66666666666666
EK202310166743,132.4
EK202310247454,127.06666666666666
EK202310215702,145.3
EK202310142190,167.1
EK202310205417,140.56666666666666
EK202310119601,131.1
EK202310190356,134.23333333333332
EK202310158758,151.63333333333333
EK202310145496,138.1
EK202310164763,154.73333333333332
EK202310200188,143.1
EK202310238803,166.43333333333334
EK202320005607,180.06666666666666
EK202310225681,141.16666666666666
EK202310127174,140.93333333333334
EK202310204317,156.63333333333333
EK202310179355,140.83333333333334
EK202310176524,161.0
EK202310237228,137.4
EK202310172549,168.6
EK202310168863,147.4
EK202310185904,146.06666666666666
EK202310133615,153.3
EK202310122063,135.4
EK202310121770,133.1
EK202310125590,133.1
EK202310172269,136.8
EK202310147894,134.5
EK202310137986,134.2
EK202310150838,152.16666666666666
EK202310104915,139.23333333333332
EK202310170090,142.26666666666668
EK202310165637,143.13333333333333
EK202310134467,132.8
EK202310182637,171.73333333333332
EK202310112116,148.86666666666667
EK202310241220,144.6
EK202310103801,147.06666666666666
EK202310177448,132.03333333333333
EK202310157860,181.96666666666667
EK202310211985,133.36666666666667
EK202310232907,126.7
EK202310162917,142.6
EK202310211786,135.6
EK202310132171,149.23333333333332
EK202310153694,141.0
EK202310174960,151.13333333333333
EK202310121096,122.0
EK202310222475,127.56666666666666
EK202310146254,149.0
EK202310111466,131.13333333333333
EK202310004385,180.6
EK202310108961,132.8
EK202310203170,142.96666666666667
EK202310161424,173.4
EK202310206583,153.73333333333332
EK202310138840,139.3
EK202310221976,140.16666666666666
EK202310143972,131.26666666666668
EK202310175420,134.93333333333334
EK202310227655,152.46666666666667
EK202310163389,135.93333333333334
EK202310239480,148.5
EK202310146467,143.56666666666666
EK202310162597,133.66666666666666
EK202310194862,138.13333333333333
EK202310152448,149.1
EK202310245431,152.7
EK202310206822,168.83333333333334
EK202310166559,147.2
EK202310221701,151.83333333333334
EK202310231403,130.43333333333334
EK202310156027,157.16666666666666
EK202310135956,141.6
EK202310183176,128.5
EK202310206055,179.4
EK202310167360,139.26666666666668
EK202310142701,153.9
EK202310156629,166.33333333333334
EK202310241352,151.5
EK202310123587,160.6
EK202310003639,143.26666666666668
EK202310158269,135.2
EK202320007090,150.23333333333332
EK202310111707,147.43333333333334
EK202310104096,147.7
EK202310235404,128.33333333333334
EK202310108783,146.46666666666667
EK202310116298,135.23333333333332
EK202310156281,166.43333333333334
EK202310164483,149.4
EK202310108212,125.6
EK202310233950,140.06666666666666
EK202310157041,148.63333333333333
EK202310104522,132.96666666666667
EK202310175972,155.53333333333333
EK202310225965,137.6
EK202310138403,133.1
EK202310234452,141.26666666666668
EK202310104614,160.3
EK202310117970,135.36666666666667
EK202310128727,137.8
EK202310190230,129.06666666666666
EK202310201465,146.23333333333332
EK202310197534,161.83333333333334
EK202310171846,138.9
EK202310193751,150.4
EK202310242967,137.13333333333333
EK202310112852,157.96666666666667
EK202310132804,150.23333333333332
EK202310127612,131.36666666666667
EK202310136082,176.7
EK202310186665,144.2
EK202310156519,134.66666666666666
EK202310108430,153.0
EK202310164930,145.2
EK202310153971,163.76666666666668
EK202310129412,132.3
EK202310124383,132.33333333333334
EK202310215858,151.86666666666667
EK202310104131,141.16666666666666
EK202310185040,151.4
EK202310119251,150.7
EK202310191724,155.66666666666666
EK202310149922,135.86666666666667
EK202310176193,136.5
EK202310204311,154.13333333333333
EK202310248324,161.43333333333334
EK202310120496,138.93333333333334
EK202310233548,138.2
EK202310219178,142.1
EK202310114723,140.63333333333333
EK202310185832,172.46666666666667
